title,magnitude,date_time,cdi,mmi,alert,expected_alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,country,year,month,earthquake_intensity_category,alert_color,refined_alert
"M 7.5 - 4 km SSE of Ekinözü, Turkey",7.5,6/2/2023 10:24,9.0,9.0,orange,red,0,1411.0,us,135.0,0.85,1,mww,10.0,38.0235,37.203,"Ekinözü, Turkey",Turkiye,2023,6,Severe,red,red
"M 6.7 - 18 km ESE of Nurdağı, Turkey",6.7,6/2/2023 1:28,9.0,8.0,yellow,red,0,800.0,us,108.0,0.218,1,mww,14.497,37.4135,36.8306,"Nurdağı, Turkey",Turkiye,2023,6,Severe,red,red
M 7.8 - Central Turkey,7.8,6/2/2023 1:17,9.0,9.0,red,red,0,2910.0,us,118.0,1.919,0,mww,17.925,37.2012,36.9997,Central Turkey,Turkiye,2023,6,Severe,red,red
M 6.6 - Panama-Colombia border region,6.6,5/25/2023 3:05,6.0,6.0,green,red,1,733.0,us,50.0,2.163,1,mww,10.0,8.8894,-77.1231,Panama-Colombia border region,Colombia,2023,5,Moderate,red,red
M 7.1 - southeast of the Loyalty Islands,7.1,5/20/2023 1:51,3.0,4.0,green,red,1,777.0,us,98.0,2.812,1,mww,35.981,-23.0622,170.456,the Loyalty Islands,Indonesia,2023,5,Light,red,red
M 7.7 - southeast of the Loyalty Islands,7.7,5/19/2023 2:57,5.0,4.0,green,red,1,927.0,us,277.0,3.111,1,mww,18.027,-23.2286,170.694,the Loyalty Islands,Indonesia,2023,5,Moderate,red,red
M 6.6 - south of the Fiji Islands,6.6,4/28/2023 3:13,0.0,2.0,green,green,0,670.0,us,52.0,5.123,0,mww,598.467,-25.2657,178.424,the Fiji Islands,Indonesia,2023,4,Very Light,green,green
"M 7.1 - 170 km SSE of Teluk Dalam, Indonesia",7.1,4/24/2023 20:00,9.0,7.0,green,red,0,838.0,us,70.0,2.282,1,mww,15.462,-0.781,98.5339,"Teluk Dalam, Indonesia",Indonesia,2023,4,Severe,red,red
"M 7.1 - Kermadec Islands, New Zealand",7.1,4/24/2023 0:41,8.0,7.0,green,red,1,777.0,us,126.0,0.708,1,mww,43.063,-30.0249,-177.897,"Kermadec Islands, New Zealand",Indonesia,2023,4,Severe,red,red
M 6.7 - south of the Fiji Islands,6.7,4/18/2023 4:31,0.0,3.0,green,red,1,691.0,us,166.0,4.719,1,mww,595.854,-22.2844,179.391,the Fiji Islands,Indonesia,2023,4,Light,red,red
"M 7.0 - 96 km N of Tuban, Indonesia",7.0,4/14/2023 9:55,5.0,3.0,green,green,0,818.0,us,131.0,1.881,0,mww,594.028,-6.0255,112.033,"Tuban, Indonesia",Indonesia,2023,4,Moderate,green,green
"M 6.9 - Kermadec Islands, New Zealand",6.9,4/3/2023 6:41,5.0,5.0,green,red,1,735.0,us,108.0,0.784,1,mww,205.681,-29.4748,-178.787,"Kermadec Islands, New Zealand",Indonesia,2023,4,Moderate,red,red
"M 6.5 - 84 km NNW of San Antonio de los Cobres, Argentina",6.5,3/22/2023 16:00,4.0,4.0,green,green,0,656.0,us,97.0,1.622,0,mww,209.976,-23.4797,-66.5108,"San Antonio de los Cobres, Argentina",Argentina,2023,3,Light,green,green
"M 6.5 - 40 km SSE of Jurm, Afghanistan",6.5,3/21/2023 16:47,7.0,5.0,green,green,0,1350.0,us,134.0,2.53,0,mww,187.589,36.5227,70.9787,"Jurm, Afghanistan",Afghanistan,2023,3,Severe,green,green
M 6.8 - near the coast of Ecuador,6.8,3/18/2023 17:12,9.0,7.0,orange,red,1,1159.0,us,152.0,0.709,1,mww,65.842,-2.851,-79.8001,Ecuador,Ecuador,2023,3,Severe,red,red
M 7.0 - Kermadec Islands region,7.0,3/16/2023 0:56,8.0,5.0,green,red,1,756.0,us,116.0,1.789,1,mww,22.065,-30.1147,-176.112,Kermadec Islands region,Indonesia,2023,3,Severe,red,red
"M 6.5 - near the east coast of the Kamchatka Peninsula, Russia",6.5,3/4/2023 3:06,7.0,6.0,yellow,red,1,655.0,us,104.0,0.266,1,mww,105.631,52.7772,158.484,"the Kamchatka Peninsula, Russia",Russian Federation (the),2023,3,Severe,red,red
"M 6.8 - 67 km W of Murghob, Tajikistan",6.8,2/23/2023 0:37,9.0,7.0,green,red,0,737.0,us,128.0,1.783,1,mww,20.522,38.0726,73.2077,"Murghob, Tajikistan",Tajikistan,2023,2,Severe,red,red
M 6.9 - Tonga,6.9,2/7/2023 10:27,4.0,4.0,green,red,1,741.0,us,136.0,1.179,1,mww,229.0,-17.853,-174.937,Tonga,Indonesia,2023,2,Light,red,red
"M 7.0 - New Guinea, Papua New Guinea",7.0,2/4/2023 18:04,7.0,7.0,green,red,1,781.0,us,105.0,6.45,1,mww,62.603,-4.2924,143.155,"New Guinea, Papua New Guinea",Papua New Guinea,2023,2,Severe,red,red
"M 6.5 - 86 km WSW of Port-Olry, Vanuatu",6.5,2/3/2023 18:04,7.0,6.0,green,red,1,653.0,us,66.0,5.483,1,mww,10.0,-15.3597,166.385,"Port-Olry, Vanuatu",Indonesia,2023,2,Severe,red,red
M 6.8 - ,6.8,1/20/2023 22:09,4.0,3.0,green,green,0,718.0,us,60.0,5.129,0,mww,610.671,-26.7209,-63.0394,"Kokopo, Papua New Guinea",Argentina,2023,1,Light,green,green
"M 7.0 - 153 km NW of Tobelo, Indonesia",7.0,1/18/2023 6:06,3.0,5.0,green,red,1,756.0,us,130.0,1.974,1,mwc,28.566,2.7401,127.051,"Tobelo, Indonesia",Indonesia,2023,1,Moderate,red,red
"M 6.5 - 108 km NW of Kimbe, Papua New Guinea",6.5,1/3/2023 5:36,4.0,2.0,green,red,1,652.0,us,115.0,2.739,1,mww,598.925,-4.8138,149.487,"Kimbe, Papua New Guinea",Papua New Guinea,2023,1,Light,red,red
M 7.0 - ,7.0,12/11/2022 7:09,3.0,3.0,green,red,1,755.0,us,147.0,3.125,1,mww,579.0,-20.0508,-178.346,"Kokopo, Papua New Guinea",Fiji,2022,12,Light,red,red
"M 7.0 - 18 km SW of Malango, Solomon Islands",7.0,11/22/2022 2:03,8.0,7.0,green,red,1,768.0,us,117.0,0.509,1,mww,14.0,-9.7963,159.596,"Malango, Solomon Islands",Solomon Islands,2022,11,Severe,red,red
"M 6.9 - 204 km SW of Bengkulu, Indonesia",6.9,11/18/2022 13:37,4.0,4.0,green,green,0,735.0,us,99.0,2.229,0,mww,25.0,-4.9559,100.738,"Bengkulu, Indonesia",Indonesia,2022,11,Light,green,green
"M 7.3 - 205 km ESE of Neiafu, Tonga",0.307692308,11/11/2022 10:48,0.555555556,0.428571429,green,red,1,0.080973451,us,0.162309368,0.158534512,1,mww,0.049204182,-19.2918,-172.129,Neiafu,Tonga,2022,11,Very Light,red,red
"M 7.3 - 205 km ESE of Neiafu, Tonga",7.3,11/11/2022 10:48,5.0,5.0,green,red,1,833.0,us,149.0,1.865,1,mww,37.0,-19.2918,-172.129,"Neiafu, Tonga",Indonesia,2022,11,Moderate,red,red
M 7.0 - south of the Fiji Islands,0.192307692,11/9/2022 9:51,0.444444444,0.142857143,green,red,1,0.046460177,us,0.154684096,0.389153349,1,mwb,0.983783622,-26.0442,178.381,the Fiji Islands,Fiji,2022,11,Very Light,red,red
M 6.8 - south of the Fiji Islands,0.115384615,11/9/2022 9:38,0.111111111,0.142857143,green,red,1,0.02699115,us,0.148148148,0.397653859,1,mww,0.939348345,-25.9678,178.363,the Fiji Islands,Fiji,2022,11,Very Light,red,red
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,11/1/2022 12:39,0.0,3.0,green,red,1,650.0,pt,23.0,0.0,1,mi,37.0,52.502,-168.08,"Nikolski, Alaska",Indonesia,2022,11,Light,red,red
"M 6.6 - 53 km SE of Nikolski, Alaska",6.6,11/1/2022 12:39,8.0,5.0,green,red,1,674.0,us,0.0,0.507,1,mww,19.0,52.6252,-168.15,"Nikolski, Alaska",Indonesia,2022,11,Severe,red,red
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,11/1/2022 12:39,0.0,3.0,green,red,1,650.0,at,97.0,1.61607,1,mi,37.0,52.502,-168.08,"Nikolski, Alaska",Indonesia,2022,11,Light,red,red
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,11/1/2022 11:35,0.0,4.0,green,red,1,691.0,at,50.0,0.936943,1,mi,33.0,52.48,-167.736,"Nikolski, Alaska",Indonesia,2022,11,Light,red,red
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,11/1/2022 11:35,0.0,4.0,green,red,1,691.0,pt,20.0,0.0,1,mi,33.0,52.48,-167.736,"Nikolski, Alaska",Indonesia,2022,11,Light,red,red
"M 6.8 - 100 km SE of Nikolski, Alaska",6.8,11/1/2022 11:35,7.0,6.0,green,red,1,730.0,us,0.0,0.92,1,mww,20.0,52.6563,-167.917,"Nikolski, Alaska",Indonesia,2022,11,Severe,red,red
"M 6.6 - 48 km WNW of Pólis, Cyprus",6.6,11/1/2022 1:07,6.0,6.0,green,orange,0,976.0,us,0.0,1.168,1,mww,21.0,35.1456,31.9095,"Pólis, Cyprus",Indonesia,2022,11,Moderate,orange,orange
"M 6.7 - 60 km SSW of Boca Chica, Panama",6.7,10/20/2022 11:57,7.0,6.0,green,red,1,797.0,us,145.0,1.151,1,mww,20.0,7.6712,-82.3396,"Boca Chica, Panama",Panama,2022,10,Severe,red,red
"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.6,10/9/2022 23:47,8.0,8.0,yellow,red,1,965.0,us,272.0,3.158,1,mww,116.0,-6.2237,146.471,"Kainantu, Papua New Guinea",Papua New Guinea,2022,10,Severe,red,red
"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.8,10/5/2022 23:06,6.0,5.0,green,red,1,762.0,us,162.0,1.505,1,mww,220.0,-23.6141,-66.7236,"San Antonio de los Cobres, Argentina",Argentina,2022,10,Moderate,red,red
"M 6.8 - 55 km SSW of Aguililla, Mexico",6.8,9/22/2022 6:16,8.0,7.0,yellow,red,1,1179.0,us,175.0,2.137,1,mww,20.0,18.33,-102.913,"Aguililla, Mexico",Mexico,2022,9,Severe,red,red
"M 7.6 - 35 km SSW of Aguililla, Mexico",7.6,9/19/2022 18:05,9.0,8.0,yellow,red,1,1799.0,us,271.0,1.153,1,mww,26.943,18.3667,-103.252,"Aguililla, Mexico",Mexico,2022,9,Severe,red,red
"M 6.9 - 90 km E of Yujing, Taiwan",6.9,9/18/2022 6:44,9.0,9.0,yellow,red,1,887.0,us,215.0,0.401,1,mww,10.0,23.1444,121.307,"Yujing, Taiwan",Taiwan,2022,9,Severe,red,red
"M 6.5 - 96 km SE of Lugu, Taiwan",6.5,9/17/2022 13:41,7.0,7.0,green,red,1,756.0,us,178.0,0.43,1,mww,10.0,23.029,121.348,"Lugu, Taiwan",Taiwan,2022,9,Severe,red,red
"M 7.0 - 209 km SSE of Isangel, Vanuatu",7.0,9/14/2022 11:04,7.0,5.0,green,red,1,761.0,us,192.0,2.977,1,mww,137.0,-21.2077,170.239,"Isangel, Vanuatu",Indonesia,2022,9,Severe,red,red
M 6.6 - ,6.6,9/11/2022 10:14,0.0,2.0,green,red,1,670.0,us,131.0,4.998,1,mww,624.464,-25.5948,178.278,"Kokopo, Papua New Guinea",Indonesia,2022,9,Very Light,red,red
M 7.0 - south of the Fiji Islands,7.0,9/11/2022 9:51,4.0,3.0,green,red,1,755.0,us,142.0,4.578,1,mwb,660.0,-26.0442,178.381,the Fiji Islands,Indonesia,2022,9,Light,red,red
M 6.8 - south of the Fiji Islands,6.8,9/11/2022 9:38,1.0,3.0,green,red,1,711.0,us,136.0,4.678,1,mww,630.379,-25.9678,178.363,the Fiji Islands,Indonesia,2022,9,Light,red,red
"M 7.6 - 70 km E of Kainantu, Papua New Guinea",0.423076923,9/10/2022 23:47,0.888888889,0.857142857,yellow,red,1,0.139380531,us,0.296296296,0.268446107,1,mww,0.167714256,-6.2237,146.471,Kainantu,Papua New Guinea,2022,9,Very Light,red,red
"M 6.6 - 44 km SE of Kangding, China",0.038461538,9/5/2022 4:52,1.0,0.857142857,orange,green,0,0.173893805,us,0.153594771,0.718633118,1,mww,0.011700995,29.7263,102.279,Kangding,China,2022,9,Very Light,green,green
M 6.6 - south of the Kermadec Islands,6.6,8/14/2022 13:44,7.0,6.0,green,red,1,672.0,us,68.0,5.293,1,mww,30.0,-32.6922,-178.959,the Kermadec Islands,Indonesia,2022,8,Severe,red,red
"M 6.5 - 107 km SSW of Tarauacá, Brazil",6.5,8/6/2022 0:55,3.0,2.0,green,green,0,653.0,us,236.0,1.999,0,mww,622.73,-9.0618,-71.1647,"Tarauacá, Brazil",Brazil,2022,8,Light,green,green
"M 7.0 - 11 km NE of Bantay, Philippines",7.0,7/27/2022 0:43,9.0,8.0,yellow,red,1,1351.0,us,152.0,5.276,1,mww,33.729,17.5978,120.809,"Bantay, Philippines",Philippines,2022,7,Severe,red,red
"M 6.6 - northern Qinghai, China",6.6,7/1/2022 17:45,9.0,8.0,orange,red,0,1012.0,us,0.0,2.685,1,mww,13.0,37.8167,101.299,"northern Qinghai, China",People's Republic of China,2022,7,Severe,red,red
"M 6.5 - 107 km SSW of Tarauacá, Brazil",0.0,6/8/2022 0:55,0.333333333,0.0,green,green,0,0.001327434,us,0.25708061,0.169925196,0,mww,0.927873869,-9.0618,-71.1647,Tarauacá,Brazil,2022,6,Very Light,green,green
"M 7.2 - 10 km W of Azángaro, Peru",7.2,5/26/2022 12:02,7.0,5.0,green,red,1,876.0,us,144.0,2.494,1,mww,236.0,-14.8628,-70.3081,"Azángaro, Peru",Peru,2022,5,Severe,red,red
M 6.9 - ,6.9,5/19/2022 10:13,2.0,5.0,green,red,1,733.0,us,127.0,0.371,1,mww,10.0,-54.1325,159.027,"Kokopo, Papua New Guinea",Indonesia,2022,5,Moderate,red,red
"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",0.115384615,5/10/2022 23:06,0.666666667,0.428571429,green,red,1,0.049557522,us,0.176470588,0.127932676,1,mww,0.323727517,-23.6141,-66.7236,San Antonio de los Cobres,Argentina,2022,5,Very Light,red,red
"M 6.6 - 44 km SE of Kangding, China",6.6,5/9/2022 4:52,9.0,8.0,orange,red,0,1043.0,us,141.0,8.454,1,mww,12.0,29.7263,102.279,"Kangding, China",People's Republic of China,2022,5,Severe,red,red
"M 6.6 - 55 km WSW of Masachapa, Nicaragua",6.6,4/21/2022 7:42,6.0,5.0,green,red,1,762.0,us,0.0,0.914,1,mww,27.0,11.5538,-86.9919,"Masachapa, Nicaragua",Indonesia,2022,4,Moderate,red,red
"M 6.8 - 109 km NE of Hihifo, Tonga",6.8,4/12/2022 19:24,5.0,5.0,green,red,1,720.0,us,152.0,2.587,1,mww,38.0,-15.3983,-172.968,"Hihifo, Tonga",Indonesia,2022,4,Moderate,red,red
M 7.0 - southeast of the Loyalty Islands,7.0,3/31/2022 5:44,6.0,4.0,green,red,1,763.0,us,0.0,2.705,1,mww,10.0,-22.5732,170.349,the Loyalty Islands,Indonesia,2022,3,Moderate,red,red
"M 6.9 - 284 km ESE of Tadine, New Caledonia",6.9,3/30/2022 20:56,6.0,4.0,green,red,1,738.0,us,0.0,2.697,1,mww,10.0,-22.72,170.277,"Tadine, New Caledonia",Indonesia,2022,3,Moderate,red,red
"M 6.7 - 65 km S of Hualien City, Taiwan",6.7,3/22/2022 17:41,8.0,7.0,green,red,1,806.0,us,0.0,0.289,1,mww,24.0,23.3421,121.636,"Hualien City, Taiwan",Taiwan,2022,3,Severe,red,red
"M 7.3 - 57 km ENE of Namie, Japan",7.3,3/16/2022 14:36,9.0,8.0,red,red,1,2397.0,us,0.0,2.936,0,mww,41.0,37.7015,141.587,"Namie, Japan",Indonesia,2022,3,Severe,red,red
"M 6.7 - 166 km W of Pariaman, Indonesia",6.7,3/13/2022 21:09,9.0,6.0,green,red,0,708.0,us,0.0,2.188,1,mww,28.0,-0.6831,98.6034,"Pariaman, Indonesia",Indonesia,2022,3,Severe,red,red
"M 6.5 - 49 km NW of Barranca, Peru",6.5,3/2/2022 15:58,8.0,6.0,green,green,0,690.0,us,0.0,3.026,0,mww,110.0,-4.455,-76.9395,"Barranca, Peru",Peru,2022,3,Severe,green,green
"M 6.6 - Kermadec Islands, New Zealand",0.038461538,3/2/2022 12:52,0.222222222,0.714285714,green,red,1,0.008849558,us,0.0,0.070299218,1,mww,0.029702525,-30.0528,-177.74,Kermadec Islands,New Zealand,2022,3,Very Light,red,red
M 6.8 - south of the Fiji Islands,6.8,2/16/2022 20:21,2.0,3.0,green,red,1,712.0,us,0.0,5.78,1,mww,535.0,-23.7852,-179.968,the Fiji Islands,Indonesia,2022,2,Light,red,red
"M 6.5 - 49 km NW of Barranca, Peru",0.0,2/3/2022 15:58,0.888888889,0.571428571,green,green,0,0.017699115,us,0.0,0.257225434,0,mww,0.158713491,-4.455,-76.9395,Barranca,Peru,2022,2,Very Light,green,green
"M 6.6 - Kermadec Islands, New Zealand",6.6,2/3/2022 12:52,2.0,7.0,green,red,1,670.0,us,0.0,0.827,1,mww,24.0,-30.0528,-177.74,"Kermadec Islands, New Zealand",Indonesia,2022,2,Severe,red,red
M 6.5 - Kermadec Islands region,6.5,1/29/2022 2:46,7.0,4.0,green,red,1,651.0,us,0.0,1.088,1,mww,8.0,-29.535,-176.729,Kermadec Islands region,Indonesia,2022,1,Severe,red,red
"M 6.6 - 80 km SW of Labuan, Indonesia",6.6,1/14/2022 9:05,8.0,6.0,green,orange,0,785.0,us,0.0,2.418,1,mww,33.0,-6.9291,105.251,"Labuan, Indonesia",Indonesia,2022,1,Severe,orange,orange
"M 6.5 - 71 km SE of Nikolski, Alaska",0.0,1/11/2022 12:39,0.0,0.142857143,green,red,1,0.0,at,0.105664488,0.137374192,1,mi,0.049204182,52.502,-168.08,"Nikolski, Alaska",USA,2022,1,Very Light,red,red
"M 6.5 - 71 km SE of Nikolski, Alaska",0.0,1/11/2022 12:39,0.0,0.142857143,green,red,1,0.0,pt,0.025054466,0.0,1,mi,0.049204182,52.502,-168.08,"Nikolski, Alaska",USA,2022,1,Very Light,red,red
"M 6.6 - 53 km SE of Nikolski, Alaska",0.038461538,1/11/2022 12:39,0.888888889,0.428571429,green,red,1,0.010619469,us,0.0,0.043097586,1,mww,0.022201887,52.6252,-168.15,"Nikolski, Alaska",USA,2022,1,Very Light,red,red
"M 6.7 - 91 km SE of Nikolski, Alaska",0.076923077,1/11/2022 11:35,0.0,0.285714286,green,red,1,0.018141593,pt,0.021786492,0.0,1,mi,0.043203672,52.48,-167.736,"Nikolski, Alaska",USA,2022,1,Very Light,red,red
"M 6.8 - 100 km SE of Nikolski, Alaska",0.115384615,1/11/2022 11:35,0.777777778,0.571428571,green,red,1,0.03539823,us,0.0,0.078204692,1,mww,0.023702015,52.6563,-167.917,"Nikolski, Alaska",USA,2022,1,Very Light,red,red
"M 6.7 - 91 km SE of Nikolski, Alaska",0.076923077,1/11/2022 11:35,0.0,0.285714286,green,red,1,0.018141593,at,0.054466231,0.079644934,1,mi,0.043203672,52.48,-167.736,"Nikolski, Alaska",USA,2022,1,Very Light,red,red
"M 6.6 - 48 km WNW of Pólis, Cyprus",0.038461538,1/11/2022 1:07,0.666666667,0.571428571,green,green,0,0.144247788,us,0.0,0.099285957,0,mww,0.025202142,35.1456,31.9095,Pólis,Cyprus,2022,1,Very Light,green,green
"M 6.6 - northern Qinghai, China",0.038461538,1/7/2022 17:45,1.0,0.857142857,orange,green,0,0.160176991,us,0.0,0.228238694,1,mww,0.013201122,37.8167,101.299,northern Qinghai,China,2022,1,Very Light,green,green
"M 7.3 - 125 km NNE of Lospalos, Timor Leste",7.3,12/29/2021 18:25,8.0,7.0,green,green,0,921.0,us,0.0,3.713,0,mww,165.49,-7.5924,127.581,"Lospalos, Timor Leste",Indonesia,2021,12,Severe,green,green
M 7.3 - Flores Sea,7.3,12/14/2021 3:20,9.0,5.0,green,red,1,854.0,us,0.0,1.025,1,mww,14.27,-7.6033,122.2,Flores Sea,Indonesia,2021,12,Severe,red,red
M 8.1 - South Sandwich Islands region,8.1,12/8/2021 18:35,0.0,7.0,green,orange,0,1009.0,us,0.0,7.463,1,mww,22.79,-58.4157,-25.3206,South Sandwich Islands region,Indonesia,2021,12,Severe,orange,orange
M 7.5 - South Sandwich Islands region,7.5,12/8/2021 18:32,9.0,6.0,green,red,1,868.0,us,0.0,7.227,1,mww,47.23,-57.5959,-25.1874,South Sandwich Islands region,Indonesia,2021,12,Severe,red,red
M 6.7 - Mauritius - Reunion region,6.7,12/5/2021 14:05,9.0,3.0,green,red,0,694.0,us,0.0,10.669,1,mww,10.0,-17.2495,66.3745,Mauritius - Reunion region,Indonesia,2021,12,Severe,red,red
"M 7.5 - 43 km NNW of Barranca, Peru",7.5,11/28/2021 10:52,8.0,8.0,yellow,red,1,1094.0,us,0.0,4.951,1,mww,126.0,-4.4898,-76.8461,"Barranca, Peru",Peru,2021,11,Severe,red,red
"M 6.6 - 177 km SE of Hirara, Japan",0.038461538,11/10/2021 15:45,0.777777778,0.285714286,green,red,1,0.016814159,us,0.0,0.277031622,1,mww,0.011700995,23.5414,126.48,Hirara,Japan,2021,11,Very Light,red,red
"M 6.9 - 112 km E of Chignik, Alaska",6.9,11/10/2021 9:10,8.0,6.0,green,red,1,995.0,ak,0.0,0.0,1,mww,51.6,56.2581,-156.492,"Chignik, Alaska",United States of America,2021,11,Severe,red,red
"M 7.1 - 60 km ENE of Pondaguitan, Philippines",7.1,11/8/2021 17:46,9.0,7.0,green,red,1,846.0,us,0.0,1.273,1,mww,55.14,6.4547,126.742,"Pondaguitan, Philippines",Indonesia,2021,11,Severe,red,red
"M 6.7 - 29 km SSW of Turt, Mongolia",6.7,11/1/2021 21:32,8.0,8.0,green,red,0,776.0,us,0.0,2.043,1,mww,10.0,51.2407,100.443,"Turt, Mongolia",Mongolia,2021,11,Severe,red,red
"M 6.6 - 177 km SE of Hirara, Japan",6.6,10/11/2021 15:45,7.0,4.0,green,red,1,688.0,us,0.0,3.259,1,mww,12.0,23.5414,126.48,"Hirara, Japan",Indonesia,2021,10,Severe,red,red
"M 6.9 - 112 km E of Chignik, Alaska",0.153846154,10/11/2021 9:10,0.888888889,0.571428571,green,red,1,0.152654867,ak,0.0,0.0,1,mww,0.071106044,56.2581,-156.492,"Chignik, Alaska",USA,2021,10,Very Light,red,red
M 6.9 - Vanuatu region,0.153846154,10/9/2021 10:58,0.444444444,0.142857143,green,red,1,0.039823009,us,0.0,0.406154369,1,mww,0.796267683,-21.1704,174.54,Vanuatu region,Vanuatu,2021,10,Very Light,red,red
M 7.7 - southeast of the Loyalty Islands,7.7,10/2/2021 13:19,9.0,4.0,green,red,1,918.0,us,0.0,7.989,1,mww,10.0,-23.2787,171.489,the Loyalty Islands,Indonesia,2021,10,Severe,red,red
M 7.3 - Vanuatu region,0.307692308,10/2/2021 6:29,0.444444444,0.285714286,green,red,1,0.077876106,us,0.0,0.381927916,1,mww,0.784266663,-21.1036,174.895,Vanuatu region,Vanuatu,2021,10,Very Light,red,red
"M 6.5 - 80 km SW of Jiquilillo, Nicaragua",6.5,9/22/2021 9:57,7.0,5.0,green,red,1,684.0,us,0.0,0.993,1,mww,21.0,12.1598,-87.8542,"Jiquilillo, Nicaragua",Indonesia,2021,9,Severe,red,red
M 6.9 - Vanuatu region,6.9,9/10/2021 10:58,4.0,3.0,green,red,1,740.0,us,0.0,4.778,1,mww,535.0,-21.1704,174.54,Vanuatu region,Indonesia,2021,9,Light,red,red
"M 7.0 - Acapulco, Mexico",0.192307692,9/8/2021 1:47,0.888888889,0.857142857,red,red,1,0.820353982,us,0.0,0.005950357,0,mww,0.023702015,16.9502,-99.7877,Acapulco,Mexico,2021,9,Very Light,red,red
M 7.1 - South Sandwich Islands region,7.1,8/22/2021 21:33,1.0,4.0,green,red,1,776.0,us,0.0,9.799,1,mww,6.0,-60.3026,-24.9992,South Sandwich Islands region,Antarctica,2021,8,Light,red,red
M 6.6 - South Sandwich Islands region,6.6,8/22/2021 0:45,1.0,3.0,green,red,1,670.0,us,0.0,8.865,1,mww,7.0,-60.1023,-24.4608,South Sandwich Islands region,Antarctica,2021,8,Light,red,red
"M 6.9 - 17 km N of Port-Olry, Vanuatu",6.9,8/18/2021 10:10,8.0,7.0,green,red,1,741.0,us,0.0,0.579,1,mww,93.0,-14.892,167.085,"Port-Olry, Vanuatu",Vanuatu,2021,8,Severe,red,red
M 6.9 - South Sandwich Islands region,6.9,8/16/2021 11:10,6.0,4.0,green,red,1,734.0,us,0.0,8.363,1,mww,16.7,-58.3814,-23.3318,South Sandwich Islands region,Indonesia,2021,8,Moderate,red,red
"M 7.2 - Nippes, Haiti",7.2,8/14/2021 12:29,9.0,8.0,red,red,1,2331.0,us,0.0,1.178,0,mww,10.0,18.3521,-73.4804,"Nippes, Haiti",Haiti,2021,8,Severe,red,red
"M 6.9 - 125 km SE of Perryville, Alaska",6.9,8/14/2021 11:57,5.0,4.0,green,red,1,738.0,us,0.0,1.173,1,mww,20.74,55.2657,-157.68,"Perryville, Alaska",Indonesia,2021,8,Moderate,red,red
